Company,Company URL,HQ Location,Country,Founded,Estimated Headcount,Known Customers,Strengths,Weaknesses,Discipline,Lifecycle Phase,Workflow Segment,Subsegment,Sector Focus,Category/Function Tags,Operating Model Tags,Differentiation Tags,Manufacturing Type,Industries Served,Investment List,Subcategories,Company Group,Latest Funding Round,Startup Lifecycle Phase,Lastest Funding Event Year,Latest Event Funding Amount,Total Current Known Funding Level,Current Estimated Annual Revenue,Estimated Market Value,Financials Notes,Investors and VCs,Market Opportunity,Market Opportunity Justification,Team & Execution,Team & Execution Justification,Technology Differentiation,Technology Differentiation Justification,Funding Efficiency,Funding Efficiency Justification,Growth Metrics,Growth Metrics Justification,Industry Impact,Industry Impact Justification,Competitive Moat,Competitive Moat Justification,Weighted Score,My Contacts,Social,Connected on LinkedIn?
Istari Digital,https://www.istaridigital.com/,"Arlington, VA, USA",United States 🇺🇸,2022,200,"US Air Force,Lockheed Martin Skunk Works,Defense primes and federal programs","Deep domain focus on aerospace and defense, strong leadership from former Air Force acquisition chief, significant non dilutive government contracts","Heavily concentrated in US defense market, long procurement cycles, platform complexity could slow commercial expansion",Engineering AI copilot,Complete Lifecycle,Digital Twin Sync,Digital thread and collaboration platform for aerospace and defense engineering,Digital engineering for aerospace and defense,"Digital Engineering Platform,Secure Data Fabric,Model Based Systems Engineering Enablement","enterprise,Industry-specific,Platform,B2B,cloud-native,Hybrid,Direct sales","Defense Focus,Digitally Certified Aircraft,Security Native Architecture,Deep Domain Expertise,Digital Thread Integration,Domain Expert Founders,Regulatory Readiness,Defense Grade Security",Discrete Manufacturing,"Aerospace & Defense,Industrial Equipment","Cognitive Thread (PLM, MBSE, DT)",Simulation-Centric Digital Twins,Scaleup Expanders,Series B,Growth Stage,2025,$27100000.0,$55100000.0,$1000000.0,$10000000.0,"Australian modular construction/digital‑twin platform; mix of platform and project revenue with infra partners; mid‑eight‑figure valuation reasonable. Simulation/digital‑twin consultancy/tooling; largely services‑heavy, so low ARR band.","Aero X Ventures,Icon Ventures,Eric Schmidt and other defense focused investors",4.4,Defense and aerospace digital engineering and certification is a multi billion dollar market with strong policy push toward model based acquisition,4.5,"Founding team has rare combination of Pentagon, defense industry and software talent, with evidence of winning meaningful government programs",3.7,Security first decentralized architecture and ability to route live engineering data across tools differentiates from traditional PLM centric approaches,3.7,"Raised substantial capital and grants relative to age, but capital intensity is justified by hard defense programs and infrastructure heavy roadmap",4.0,"Rapid growth in contracts, acquisitions like Dgraph and expanded headcount, even if exact ARR and logo counts are not disclosed",4.7,Digital certification of aircraft and deep AFWERX engagement position Istari as a reference vendor for next generation defense engineering workflows,3.8,"Moat rests on regulatory trust, classified program access, deep integrations into defense toolchains and accumulated program specific data models",4.14,"Will Roper (CEO) *
Christopher Benson",,checked
Phasio,https://phas.io,"Palo Alto, CA, USA",United States 🇺🇸,2022,8,"Leading US labs, quantum research groups, US-based defense/aero","Unique signal processing for quantum/RF, founder coverage, scientific depth","Tiny team, stealth, slow to commercialize outside R&D",Multiphysics,Simulate,Simulation Loop,"Quantum/RF/EM Sim, Signal Analytics","Design optimization for RF, radar, quantum, advanced simulation","Simulation,Design Optimization,Advanced Manufacturing,Quantum Platforms,Engineering Analysis","Software,B2B,enterprise,Platform,Industry-specific","Scalable Neutral Atom Tech,Academic IP Moat,Materials Science Foundation,Deep Domain Expertise,Defensible theory and validation datasets if proven",Discrete Manufacturing,"Aerospace & Defense,Academia","Extreme Analysis (CAE, CFD, FEA, QC)",Domain-Specific CAE & Digital Twins,Startup Raisers,Seed,Seed Stage,2023,$2500000.0,$2200000.0,$1500000.0,$15000000.0,"Manufacturing interface for job shops. Raised ~3.8 M USD seed led by AirTree with 500 Global, EF, Gattaca. ​ Seed‑stage revenue, growing globally.","Airtree Ventures, Airtree Explorers, 500 Global, Entrepreneur First, Gattaca Ventures, Michael Sorkin, Teik Guan Tan, Vishal Harnal, James Cameron",3.8,Quantum/radar/low-freq RF is a surging vertical for sim,3.7,"PhDs, published, grant-funded but no SaaS scale yet",3.7,"First-mover in its signal space, more R than D",3.0,"Grant burning, slow SaaS GTM",3.5,"Research pilots, minimal userbase",0.0,"Academic cited, little in mainstream",3.5,"IP, grant support, reliant on next-phase delivery",3.22,Harry Conor Lucas (CEO and co-founder),Ask him about SLW - Blue Byte,
Jiga,https://jiga.io,"San Francisco, California, USA",United States 🇺🇸,2020,30,"NASA, Tesla, Google, Siemens, Humotech, Archer",White-box sourcing model keeps engineers in control while automating procurement grunt work and connecting to vetted manufacturers across processes,Requires deep supplier network quality control and enterprise trust to scale across categories,Procurement Automation,Procurement,Supplier / Compliance,"Sourcing Collaboration, Supplier Management",Custom parts sourcing and manufacturing procurement platform,"Custom Parts,Manufacturing Procurement,Sourcing,Supply Chain,CNC,Sheet Metal,3D Printing,Injection Molding","Marketplace,Platform,B2B,enterprise,SMB","White Box Supplier Access,collaborative BOM,Workflow Embedded Agents,AI-enabled supply chain platform,Fast RFQ workflows,integrated supplier marketplace,Workflow Automation",Discrete Manufacturing,"Industrial Equipment,Robotics,High Tech & Electronics,Aerospace & Defense",Streamlined Supply Chain (SCM),Network Orchestration & Multi‑Factory Scheduling,Startup Raisers,Series A,Early Stage,2025,$12000000.0,$16100000.0,$5000000.0,$75000000.0,Series A announced Nov 2025 as $12M led by Aleph with participation from Symbol and Y Combinator and earlier reporting describes a $4.1M round led by Symbol in Feb 2023 and PR states the company was profitable at the time of the Series A,"Aleph,Symbol,Y Combinator",4.4,Hardware teams face chronic sourcing delays and quality risk and a scalable sourcing platform has large upside in the AI era,4.2,Raised Series A and reports strong demand with reference logos but enterprise deployment depth is not fully public,4.2,Differentiation is the white-box model with direct supplier communication plus automation and QA rather than a black-box instant quote marketplace,3.8,$16.1M known funding with profitability claim suggests solid efficiency relative to category difficulty,4.0,Series A and public customer references signal strong momentum though revenue is not disclosed,4.3,Can materially shorten procurement cycles and improve quality reliability for complex hardware programs,4.1,"Moat grows with vetted supplier network, transaction data, QA learnings, and workflow embedding that increases switching costs over time",4.17,"Adar Hay (CEO) *
Neta Ariel (VP Mkg) *",Podcast with Bananaz,checked
AI Materia,https://aimateria.com/,"Toronto, ON, CA",Canada 🇨🇦,2021,50,"Global materials manufacturers, automotive, aerospace, energy, advanced manufacturing","Enterprise AI for materials R&D, agile SaaS, virtual experimentation, comprehensive data management, cloud deployment","Niche AI segment, faces conservatism of legacy industrials, new entrant risk",Materials AI,Complete Lifecycle,PLM Automation,"Virtual Materials Experimentation, Data Management SaaS",Materials Digital R&D,"materials informatics,Materials,Generative AI,R&D Data Management,Engineering Software,sustainability,workflow","SaaS,cloud,Platform,enterprise,B2B,Vertical SaaS,Cloud SaaS,Enterprise SaaS,Platform Play,Enterprise Sales","AI for R&D,Vertical workflow automation",Discrete Manufacturing,"Automotive,Energy,Aerospace & Defense","Cognitive Thread (PLM, MBSE, DT)","Materials, Formulation & Lab Digital Threads",Startup Raisers,Bootstrapped,Bootstrapped,2020,$30000.0,$0.0,$1000000.0,$10000000.0,Early materials‑informatics / AI‑materials startup; assumed seed/early‑A.,"Altitude Accelerator, i.d.e.a. Fund, Plug and Play Tech Center",4.2,"Rising demand for digital R&D in materials, sustainability pressure",4.1,"PhDs and R&D leaders, technical/industry founding team",3.7,"Proprietary platform, generative AI, workflow integration, virtual lab modules",4.0,"Seed backing, B2B SaaS, focused go-to-market",4.0,"Adoption in large manufacturing and materials groups, vertical growth",4.3,"Boosting R&D agility for global innovation, lowering sustainability footprint",3.5,"Hard-to-replicate IP, workflow stickiness, vertical expert sales",4.01,"Maryam Emami, Ph. D*
Mahdi Torabi Rad, Ph. D",,checked
Citrine Informatics,https://citrine.io/,"Redwood City, CA, USA",United States 🇺🇸,2013,100,"Eastman, Panasonic, Grace, LyondellBasell, LANXESS, Morrow Batteries","ML for materials synthesis, strong client list, mature informatics platform, excellent sector expertise","Data prep complexity for new customers, niche market vs. broader PLM, integration challenges, recent layoffs",Workflow,Complete Lifecycle,Data Extraction / Classification,Materials informatics platform,"Materials Informatics, AI/ML for Chemistry","materials informatics,Materials,Scientific AI,Manufacturing AI","B2B,enterprise,Vertical SaaS,Platform,cloud,Software,Enterprise SaaS","Materials Science Foundation,AI for R&D,Proprietary experimental data,Domain-specific workflows and templates,AI-guided formulation pipeline plus strategic backing,Proprietary data flywheel,Defensible theory and validation datasets if proven,Performance and usability wedge if proven",Process Industries,"Chemicals,CPG,Food & Beverage","Cognitive Thread (PLM, MBSE, DT)","Materials, Formulation & Lab Digital Threads",Scaleup Expanders,Series B,Growth Stage,2023,$5000000.0,$78700000.0,$20000000.0,$200000000.0,Recent layoffs to mitigate economic outlook,"Alumni Ventures,AME Cloud Ventures,B&C Holdings,DCVC (Data Collective),Innovation Endeavors,ISAI Cap Venture,Morado Ventures,Prelude Ventures,Presidio Ventures,Tencent Holdings,Evonik Venture Capital,Ulu Ventures,XSeed Capital,Drive Catalyst,Far Eastern Group,Moore Strategic Ventures,Next47,Jerry Yang,Eric Schmidt,ARPA-E (U.S. Department of Energy Advanced Research Projects Agency-Energy)",3.5,"Materials science AI is a massive new market, but remains niche relative to broader workflow.",4.3,"Seasoned founders, large enterprise clients, strong scientific and product leadership.",3.6,"ML-focused, first-mover for materials/chemicals, though others now entering this vertical (IBM, Dassault, smaller startups).",4.0,"Heavy R&D and customer onboarding, Series C burn typical for analytics/SaaS at this scale.",3.0,"High-profile customer wins, expanding footprint, but some risk in deep cyclical industries.",4.2,"“AI for materials” is becoming commonly requested by global manufacturers, accelerating research timelines.",4.3,"First-mover data/IP, partners, sector leadership. Moat must be defended as more ML-for-materials players emerge.",3.82,"Greg Mulholland
Hannah Melia**",Pretty rude. Told me I was too small to be of interest to her or Citrine and hung up,checked
Carbonfact,https://www.carbonfact.com,"Paris, France",France 🇫🇷,2021,25,"Columbia,New Balance,Carhartt",Strong vertical focus on apparel and footwear LCAs and automation aligned to regulatory reporting pressure,Domain is regulation-heavy and accuracy expectations are high which increases implementation burden,LifeCycle Analysis,Complete Lifecycle,Sustainability,Apparel and footwear carbon accounting and reporting automation,Product footprinting and reporting automation for fashion,"Sustainability,LCA,Carbon Accounting,CSRD","Vertical SaaS,B2B,Subscription,enterprise,Industry-specific,SaaS,Platform","Centralized ESG and carbon data platform,""Regulatory compliance focus (CSRD, GHG, EU Taxonomy)"",Proprietary data flywheel,Domain-specific workflows and templates,Contextualized Data Layer",Discrete Manufacturing,Fashion & Apparel,"Cognitive Thread (PLM, MBSE, DT)",LifeCycle Analysis,Startup Raisers,Series A,Early Stage,2024,$15000000.0,$17000000.0,$0.0,$15000000.0,Company announced $15M Series A Apr 2024 led by Alven with Headline and participation from Y Combinator and states $17M raised to date,"Alven,Headline,Y Combinator",4.3,Fashion faces rising disclosure mandates and complex supply chains so automated product-level footprinting is a large urgent need,4.0,Clear traction with 150+ customers and credible investors suggests strong execution,4.0,Deep apparel-specific data model and workflow built around reporting requirements differentiates from generic carbon tools,3.7,$17M total for a mid-sized team with strong customer count suggests reasonable efficiency,4.1,150+ customers and Series A indicate strong momentum even if revenue is not disclosed,4.6,Enables measurable reductions and compliance by moving brands from spreadsheets to operational footprinting,4.5,Moat comes from proprietary category data workflows and embedded reporting processes that increase switching costs over time,4.11,Marc Laurent,,
Labster,https://www.labster.com,"Copenhagen, Denmark",Denmark 🇩🇰,2011,350,Universities Globally,Scalable virtual lab platform,Education budgets fluctuate,Learning,Education,Education, Virtual Laboratory Training,Virtual lab training,STEM Training,"SaaS,Platform,B2B,Subscription,enterprise,SMB,Software,Cloud","High Fidelity Simulations,Scalable legacy CAD access,Virtual-First Factory Model,High-throughput search and patented approach claims",Discrete Manufacturing,Education,"Knowledge Engineering (R&D, Learning)",Career-Level Training,Scaleup Expanders,Series C,Expansion Stage,2021,$60000000.0,$148000000.0,$73500000.0,$30000000.0,$500.0M,Andreessen Horowitz,4.1,Global demand for scalable STEM education,4.3,Strong execution and global reach,4.2,High fidelity interactive simulations,4.0,Good capital efficiency post scale,4.1,Sustained institutional adoption,4.2,Expands access to lab education,4.1,Moat from content depth and institutional lock in,4.16,Mads Tvillinggaard Bonde,,
Kaedim,https://kaedim.com,"London, UK",United Kingdom 🇬🇧,2020,30,"Game developers, Fortune 100 in commerce, architecture","AI-powered 3D asset creation, 10x speedup, high-quality assets","New company, early-stage",AEC/BIM,Design,AEC/BIM,"3D modeling, AI for design","3D asset creation, AI, design","AI 3D Generation,Generative AI,Gaming Assets,Creator Tools,Metaverse Content,Procedural Modeling,Design Automation,Immersive Design","SaaS,B2B,Subscription,Product-led growth,Platform,Software,Industry-specific,Self-Service","AI-driven design generation,Generative Modeling,AI-powered data automation,high-res with fast AI workflows,Real Time AI,Generative Engine,AI Native Workflow,AI-first,Proprietary Models",Construction,"Gaming,Consumer Goods,Building Design",Bleeding Edge BIM (AEC/BIM),AI-Driven Design & Authoring,Startup Raisers,Series A,Early Stage,2024,$15000000.0,$15000000.0,$5000000.0,$100000000.0,"Series A/post-money valuation from several news outlets, fits high-growth SaaS/AI multiple.led by Andreessen Horowitz (a16z), other notable VCs.","Andreessen Horowitz
Pioneer Fund
Scott Gelb
Nate Mitchell
Eden Chen
Siqi Chen
Chris Kingsley
Tom Blomfield
Patrick Pichette
Sterling Snow
Jane Walerud
Mandeep Singh
Matt Robinson
Rebellion Games
Aardman Animations",4.4,"Kaedim provides AI-powered 3D asset generation tools for gaming, metaverse, and digital content creation, targeting the global 3D animation and modeling market, which is projected to exceed $20B by 2028 with a CAGR above 12% (Grand View Research, 2023). The company’s focus on automating 3D asset creation addresses a critical bottleneck in game development and virtual production, sectors experiencing rapid growth due to increased demand for immersive digital experiences.",3.8,"Kaedim’s co-founder and CEO, Konstantina Psoma, has a background in computer science and previously worked in AI and 3D graphics. The team includes technical talent from top universities and experience at leading tech firms. Kaedim is a Y Combinator alum and has raised funding from investors like Pioneer Fund and Khosla Ventures. The company has announced partnerships with major gaming studios and shipped a product that automates 3D asset creation, with visible traction among game developers and digital artists. Multiple press features highlight rapid growth and adoption since 2023.",3.7,"Kaedim leverages proprietary AI algorithms to automate the conversion of 2D images into production-ready 3D assets, as detailed on its Technology and Product pages; the company claims a unique blend of generative AI and artist-in-the-loop workflows, and has been highlighted by TechCrunch (March 2024) and NVIDIA Inception for its technical innovation, though no patents or deep platform exclusivity have been publicly disclosed.",3.9,"$15M raised as of March 2024; Kaedim reported over 10,000 users and partnerships with major gaming studios. The company has delivered significant product milestones, including AI-powered 3D asset generation tools and integration with leading game engines. Compared to sector norms, Kaedim has demonstrated notable capital efficiency by achieving rapid user growth and product adoption with a relatively modest funding amount.",4.3,"Kaedim raised $15M in Series A funding in March 2024 (TechCrunch), has announced partnerships with major game studios, and expanded its AI 3D asset generation platform globally; while explicit ARR or user numbers are not disclosed, recent funding, product launches, and industry endorsements indicate strong growth momentum (company blog, 2024).",3.8,"Kaedim has demonstrated notable industry impact, particularly in the gaming and 3D content creation sectors. The company’s AI-driven 3D model generation tool has been adopted by major studios such as Aardman, Mathematic, and Payload Studios, as highlighted on its website and in customer testimonials. Kaedim has been featured in industry news outlets like VentureBeat and TechCrunch, which have recognized its potential to streamline 3D asset creation workflows. The company was a finalist in the 2023 TIGA Games Industry Awards and has participated in partnerships with Epic Games through the Epic MegaGrants program. However, while adoption is strong among innovative studios and indie developers, Kaedim is not yet considered a sector standard or widely benchmarked by major analyst firms. Thus, the score reflects solid but not universal industry impact.",3.5,"Kaedim’s website (Product, Technology, and About pages, July 2025) highlights its proprietary AI pipeline for rapid 3D asset generation from 2D images, with claims of unique automation and workflow integration for game and VFX studios; however, similar generative 3D tools exist (e.g., Scenario, Luma AI), and no public patents or exclusive partnerships are documented, indicating moderate differentiation but not a strong moat.",3.95,"Konstantina Psoma

",Waiting,
Periodic Labs,https://periodic.com/,"San Francisco Bay Area, California, United States",United States 🇺🇸,2025,35,N A,$300M seed gives exceptional runway to build autonomous labs and AI scientist stack,Very early stage with heavy execution risk and unclear near-term revenue,Scientific R and D Platform,R and D,R and D,AI for physical science and lab automation,AI for materials discovery,"Autonomous labs,materials discovery,scientific AI","enterprise,B2B,Platform,Software,Cloud,Hybrid,Product-led growth","Closed-loop lab automation,Proprietary experimental data,AI for R&D,lab automation loop,Proprietary data flywheel,Physical AI + Scientific AI,AI-guided formulation pipeline plus strategic backing",Process Industries,"Materials,energy,semiconductors,industrial R and D","Knowledge Engineering (R&D, Learning)",Materials discovery,Startup Raisers,Seed,,2025,$300000000.0,$300000000.0,$0.0,$0.0,Seed announced Sep 30 2025 at $300M,Andreessen Horowitz and others,4.6,Materials R and D is massive and under-automated,3.8,Team pedigree is strong but proof is still early,4.3,Owned lab execution creates defensible data advantage vs software-only,3.2,Capital is large but labs consume cash quickly,3.3,"High visibility from funding, revenue not disclosed",4.2,Could compress timelines for new materials commercialization,3.8,Moat depends on compounding datasets and automation infrastructure,3.96,,,
heatshape,https://www.heatshape.io/,"Cottbus, Brandenburg, Germany",Germany 🇩🇪,2022,8,"Early-stage industrial clients (SMEs, metal manufacturing pilot users; not publicly listed)","Web-based, scalable simulations for metal thermal processing; significant cost savings; minimal hardware requirements; strong scientific foundation",Early-stage commercial adoption; limited public customer references; does not support complex CFD for weld pool physics,CAE,Simulate,Simulation Loop,FEA/thermal simulation for metal processing,Metalworking automation; industrial process simulation; SME digitalization,Simulation,"SaaS,cloud-native,B2B,SMB,Self-Service,Product-led growth,Subscription,Software,Cloud SaaS","Cloud FEA rapid browser onboarding,Ease Of Use",Discrete Manufacturing,"Job Shops,Metals","Extreme Analysis (CAE, CFD, FEA, QC)",Domain-Specific CAE & Digital Twins,Startup Raisers,Pre-Seed,Pre-Seed Stage,2025,$250000.0,$250000.0,$120000.0,$10000000.0,"Thermal / shape‑changing materials or simulation startup; early‑stage.Value proposition is less about ARR, more cost avoidance/value for SMBs",Angel investor(s); seeking further investors,4.2,"Decarbonization, cost and resource savings in EU metalworking; large SME market; regulatory drivers",3.5,"PhD founders with technical prestige, but limited startup business scaling experience",4.6,"Automated FEA, browser scalability, material cost savings, unique SME accessibility",4.1,Minimal hardware/resources required; lean startup operations,3.2,"Still early stage, piloting, seeking broader commercialization",3.8,Could disrupt metalworking and improve environmental footprint for SMEs,3.8,"Scientific knowledge, ease of use, but no major commercial/sales barrier yet",3.96,Anton Evdokimov*,,checked
Monumo,https://monumo.com/fr,"Cambridge, UK",United Kingdom 🇬🇧,2021,35,N A,AI-driven electric motor design with disclosed seed and clear electrification wedge,Early-stage validation and competitive motor design ecosystem,E-Drive Engineering,Design Phase,Design Phase,Electric motor design optimization,AI for e-motor engineering,"Electric motors,design optimization","B2B,OEM,enterprise,Software,Platform,Industry-specific","AI Driven Optimization,Proprietary Models,High Torque Density,Integrated In-Wheel Design,Manufacturing Focus Models,Simulation-Driven Design,Automotive R&D Optimization",Discrete Manufacturing,"Automotive,Aerospace & Defense",Design Intelligence (CAD),E-motor design,Startup Raisers,Seed,Seed Stage,2024,$14160000.0,$14160000.0,$0.0,$0.0,"£10.5M seed reported, converted to USD",Angel investors,4.1,Electrification drives large demand for better motors and faster iteration,3.7,"Seed and team scale indicate execution capacity, customer logos limited publicly",4.1,AI-driven exploration plus simulation throughput is differentiated,3.4,Capital is meaningful but commercialization can be costly,3.2,Revenue not disclosed,3.9,Could improve efficiency and reduce cost in EV motors,3.7,Moat depends on proprietary datasets and OEM workflow adoption,3.79,"Dominic Vergine (Co-founder and CEO)
Jaroslaw Rzepecki (CTO)",,
Numorpho Cybernetic Systems (NUMO),https://numorpho.org/,"Chicago IL, USA",United States 🇺🇸,2022,30,No major clients,Industrial cybernetic wearable systems,Hardware software integration complexity,Industrial cybernetic systems,Manufacture,Digital Twin Sync,Cybernetic wearables platform,Industrial wearables,"Industrial Safety,Worker Productivity,AI Analytics","HW plus SW,B2B,Industry-specific,enterprise,Platform","sensor integration,collaborative intelligence,real-time integration,Hardware engineering,Digital Twins,Industrial AI templates","Discrete Manufacturing,Construction","Energy,Industrial Equipment","Factory Futures (MES, IIOT)",Sector‑Specific Factory Platforms,Startup Raisers,Seed,Seed Stage,2024,$0.0,$0.0,$1000000.0,$10000000.0,Boutique advanced‑manufacturing/robotics studio; more services/IP than scaled product revenue.,Angel investors,3.4,Market growing for connected worker safety,2.9,Founders multidisciplinary but early,3.4,Integrated cybernetic twin concept,4.0,Hardware intensive and costly,3.0,Initial prototypes and pilots,3.8,Potential to improve industrial safety,3.5,Hardware complexity limits moat,3.39,Nitin Uchil,,checked
Fabriom,https://www.fabriom.com,"Santa Clara, CA, USA",United States 🇺🇸,2025,3,Early-stage US manufacturers; pilot partners (not named),"AI-powered supply chain agent (Fabriom Flow), highly modular SaaS, vendor and buyer network integration, ease of onboarding, analytics across full lifecycle","Young company, limited broad customer adoption to date, unknown market traction outside initial pilots",Workflow,Procurement,Supplier / Compliance,Intelligent supply chain & procurement automation,Digital manufacturing supply chain; process AI; US manufacturing automation,"Supply chain automation,AI for Industry 4.0,manufacturing automation,digital manufacturing,Manufacturing software,Workflow Automation,Manufacturing Tech,Manufacturing AI","SaaS,cloud-native,B2B,Platform,Self-Service,Subscription,Product-led growth,enterprise,SMB,Cloud SaaS","AI-enabled supply chain platform,AI automation,modular toolbox,Vendor-neutral,Workflow Automation,real-time integration,Fast Deployment,Integration with existing engineering tools",Discrete Manufacturing,Industrial Equipment,Streamlined Supply Chain (SCM),AI-Native SCM Orchestration & Automation,Startup Raisers,Bootstrapped,Bootstrapped,2025,$0.0,$0.0,$150000.0,$5000000.0,"Young manufacturing/ops software or DFAM service; no public metrics, so seed‑stage range.",Angel investors (Delaware/New York); exploring institutional VCs,4.4,Supply chain resilience and AI workflow automation is a burning need post-pandemic; US reshoring and manufacturing digitalization tailwinds,3.8,"Technically solid founders and SME advisors, still early in scaling and sales",4.2,"AI agent approach, open integration capability, but startups in sector are crowding space",4.3,"Lean with good pilot use of funds; small team, rapid iteration",3.1,Growing but no major public reference wins yet; limited metrics,4.1,"If scaled, could improve procurement and manufacturing efficiency for US SMEs/enterprises",3.6,"Integrative AI agent is new, but easily imitated by larger platforms; early, vulnerable to competitive crowd-in",4.03,Anmol Singh*[--,Talk early 2026,checked
